"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc"
"5-hydroxyltryptophan","mtab_TSQ_cm_PMI_2020_1112_60",2.616,900.23,3136612.44327385,1887510.68450293
"5-hydroxyltryptophan","mtab_TSQ_cm_PMI_2020_1112_61",2.69,739.08,2575449.04631141,1549859.29367482
"5-hydroxyltryptophan","mtab_TSQ_cm_PMI_2020_1112_62",2.602,561.19,1955992.90802008,1177133.22532599
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_51",0.765,6074.51,19314731.0440957,7268675.00900684
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_52",0.776,7453.31,23697316.7679648,8901361.04399247
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_53",0.756,15769.74,50131511.2788122,18749141.0860113
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_54",0.777,10661.03,33893217.4628946,12699736.1877001
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_55",0.765,9830.99,31254893.2286037,11716856.3527136
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_56",0.776,13005.73,41345965.3210001,15476178.7074498
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_57",0.765,12974.94,41248097.7445293,15439719.1752354
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_58",0.775,11743.04,37332441.1204835,13980982.6460079
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_59",0.766,11421.92,36311744.9153422,13600733.0524812
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_60",0.766,10247.11,32577551.7515341,12209598.8192629
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_61",0.766,14760.52,46923654.327664,17554087.851149
"adenine pos","mtab_TSQ_cm_PMI_2020_1112_62",0.775,13660.96,43428647.105052,16252059.8147196
"ammp ","mtab_TSQ_cm_PMI_2020_1112_51",0.555,39564.02,983224033.336138,150770444.174821
"ammp ","mtab_TSQ_cm_PMI_2020_1112_52",0.576,12569.91,312181407.192272,47816881.1253276
"ammp ","mtab_TSQ_cm_PMI_2020_1112_53",0.556,34291.07,852144541.716474,130659798.175311
"ammp ","mtab_TSQ_cm_PMI_2020_1112_54",0.556,38284.73,951422350.628333,145891325.594005
"ammp ","mtab_TSQ_cm_PMI_2020_1112_55",0.566,36858.72,915973376.933426,140452627.654188
"ammp ","mtab_TSQ_cm_PMI_2020_1112_56",0.566,53675.86,1334028196.6637,204591970.766524
"ammp ","mtab_TSQ_cm_PMI_2020_1112_57",0.566,39895.45,991463003.155216,152034493.976852
"ammp ","mtab_TSQ_cm_PMI_2020_1112_58",0.566,23084.86,573571008.915442,87920132.0858991
"ammp ","mtab_TSQ_cm_PMI_2020_1112_59",0.566,21234.41,527570943.43642,80862651.0003981
"ammp ","mtab_TSQ_cm_PMI_2020_1112_60",0.566,15805.27,392608747.486907,60156307.7538703
"ammp ","mtab_TSQ_cm_PMI_2020_1112_61",0.566,23347.76,580106401.503426,88922813.4754953
"ammp ","mtab_TSQ_cm_PMI_2020_1112_62",0.576,28692.09,712960318.08669,109305697.579187
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_51",4.975,4183.31,132027919.961643,74971215.9893139
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_52",4.814,3422.41,108016323.992508,61332028.4123298
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_53",4.826,3945.27,124516130.890158,70704331.759027
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_54",4.838,3527.33,111327267.150717,63212727.0068589
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_55",4.995,8035.06,253576960.274586,144014113.544378
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_56",4.826,3653.99,115324255.908045,65483116.6750161
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_57",5.011,3252.98,102669649.389997,58294983.398309
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_58",5.042,9302.44,293571462.179387,166731991.78241
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_59",4.815,3165.17,99898643.6835308,56720982.7922702
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_60",4.856,2934.66,92624477.5817494,52589074.3570348
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_61",4.837,2934.66,92624477.5817494,52589074.3570348
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_62",4.963,2988.89,94335804.7593105,53561151.032419
"arginine","mtab_TSQ_cm_PMI_2020_1112_51",0.521,43385.56,139967323.28126,2122843.77373352
"arginine","mtab_TSQ_cm_PMI_2020_1112_52",0.412,11456.82,36959318.3271513,562618.755484446
"arginine","mtab_TSQ_cm_PMI_2020_1112_53",0.522,66203.93,213583594.076935,3237882.8184833
"arginine","mtab_TSQ_cm_PMI_2020_1112_54",0.522,57335.4,184972080.369358,2804514.56213831
"arginine","mtab_TSQ_cm_PMI_2020_1112_55",0.522,22116.86,71350573.7644469,1083530.67069112
"arginine","mtab_TSQ_cm_PMI_2020_1112_56",0.522,76706.77,247467693.316435,3751113.02207627
"arginine","mtab_TSQ_cm_PMI_2020_1112_57",0.522,34250.58,110496192.723158,1676455.21166671
"arginine","mtab_TSQ_cm_PMI_2020_1112_58",0.522,70806.93,228433721.166315,3462812.32584878
"arginine","mtab_TSQ_cm_PMI_2020_1112_59",0.522,40413,130377296.389927,1977587.10277668
"arginine","mtab_TSQ_cm_PMI_2020_1112_60",0.412,14029.59,45259548.931484,688339.348285811
"arginine","mtab_TSQ_cm_PMI_2020_1112_61",0.432,10767.57,34735670.6851015,528937.968399576
"arginine","mtab_TSQ_cm_PMI_2020_1112_62",0.522,43276.14,139614314.177172,2117496.87243091
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_51",0.536,2574.49,1321438.20376826,51633.4055867156
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_52",0.567,512.48,281500.867041788,10747.2192384912
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_53",0.658,750.7,401642.802510084,15470.7207306634
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_54",0.608,1537.94,798673.015246465,31080.3643991113
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_55",0.447,685.11,368563.675873506,14170.1814691758
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_56",0.467,1711.17,886038.423193626,34515.2236195335
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_57",0.597,3238.51,1656324.6448297,64799.8041293745
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_58",0.456,861.45,457497.555902384,17666.7067530715
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_59",0.537,2221.06,1143192.1948162,44625.483781752
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_60",0.447,1457.33,758018.824086616,29482.0038278578
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_61",0.557,4610.54,2348283.0854332,92004.8488456244
"argininosuccinicacid pos","mtab_TSQ_cm_PMI_2020_1112_62",0.486,2146.28,1105478.25839474,43142.7222941161
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_51",4.573,6697.22,86368153.0499429,92329800.1152435
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_52",4.602,6484.71,83627676.049779,89400013.2819985
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_53",4.603,6030.55,77770939.7343376,83138698.5759303
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_54",4.715,5875.5,75771452.8448952,81001088.8234733
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_55",4.587,9640.53,124324359.154844,132907988.831813
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_56",4.597,7083.65,91351459.8457329,97657349.5292515
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_57",4.62,6407.14,82627352.2960605,88330588.0095181
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_58",4.617,8151.03,105116131.345592,112372872.893183
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_59",4.704,6365.86,82095015.5092421,87761477.8477546
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_60",4.633,6425.78,82867729.1784804,88587569.9236477
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_61",4.615,5435.98,70103510.3898952,74941609.6980306
"biotin pos","mtab_TSQ_cm_PMI_2020_1112_62",4.637,5347.13,68957722.5141973,73716671.7650683
"caffeine","mtab_TSQ_cm_PMI_2020_1112_51",4.293,3241.28,55467139.8943438,62354135.6512414
"caffeine","mtab_TSQ_cm_PMI_2020_1112_52",4.312,6161.23,105421466.598049,118518024.041386
"caffeine","mtab_TSQ_cm_PMI_2020_1112_53",4.324,2068.23,35398671.9617486,39791061.1889871
"caffeine","mtab_TSQ_cm_PMI_2020_1112_54",4.337,2082.46,35642117.9347939,40064768.6606191
"caffeine","mtab_TSQ_cm_PMI_2020_1112_55",4.314,1646.43,28182543.2596739,31677933.1823558
"caffeine","mtab_TSQ_cm_PMI_2020_1112_56",4.319,3847.9,65845157.8963649,74022190.9176773
"caffeine","mtab_TSQ_cm_PMI_2020_1112_57",4.33,2931.02,50159230.716758,56386427.9809298
"caffeine","mtab_TSQ_cm_PMI_2020_1112_58",4.338,2618.6,44814368.390769,50377173.7091618
"caffeine","mtab_TSQ_cm_PMI_2020_1112_59",4.332,4813.03,82356543.136368,92586020.2989957
"caffeine","mtab_TSQ_cm_PMI_2020_1112_60",4.356,2272.74,38897416.582093,43724716.4963275
"caffeine","mtab_TSQ_cm_PMI_2020_1112_61",4.33,3010.3,51515548.126669,57911342.1306826
"caffeine","mtab_TSQ_cm_PMI_2020_1112_62",4.347,3929.58,67242534.3600573,75593267.9579373
"carnitine","mtab_TSQ_cm_PMI_2020_1112_51",0.477,17967.56,339829675.977265,43459094.8025582
"carnitine","mtab_TSQ_cm_PMI_2020_1112_52",0.388,10339.36,195580313.272397,24995844.9955174
"carnitine","mtab_TSQ_cm_PMI_2020_1112_53",0.478,15702.43,296996037.773799,37976587.653372
"carnitine","mtab_TSQ_cm_PMI_2020_1112_54",0.478,12233.65,231401362.180161,29580773.2193421
"carnitine","mtab_TSQ_cm_PMI_2020_1112_55",0.458,9368.25,177216610.352138,22645376.1404644
"carnitine","mtab_TSQ_cm_PMI_2020_1112_56",0.478,17303.36,327269645.208726,41851469.081964
"carnitine","mtab_TSQ_cm_PMI_2020_1112_57",0.448,9211.28,174248305.579874,22265446.8881885
"carnitine","mtab_TSQ_cm_PMI_2020_1112_58",0.477,11430.3,216210003.074611,27636349.668244
"carnitine","mtab_TSQ_cm_PMI_2020_1112_59",0.468,9211.28,174248305.579874,22265446.8881885
"carnitine","mtab_TSQ_cm_PMI_2020_1112_60",0.478,16509.44,312256607.527667,39929869.8466522
"carnitine","mtab_TSQ_cm_PMI_2020_1112_61",0.468,9211.28,174248305.579874,22265446.8881885
"carnitine","mtab_TSQ_cm_PMI_2020_1112_62",0.447,19133.62,361879885.971187,46281419.4754821
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_51",0.537,4267.93,418352.042466831,375635.984820214
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_52",0.448,676.13,64923.6670161917,59985.2399216429
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_53",0.478,3135.42,306914.554443666,276109.946314429
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_54",0.609,201.17,18188.2304094665,18245.3106947857
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_56",0.408,2969.1,290548.886142271,261493.589086429
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_57",0.784,3311.98,324287.825218644,291626.204324143
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_58",0.557,1425.39,138649.861289299,125830.909814929
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_59",0.448,1321.22,128399.670891533,116676.352741571
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_60",0.588,1455.69,141631.341264841,128493.702167071
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_61",0.438,298.69,27784.0695914773,26815.4595456429
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_62",0.669,1979.47,193170.601383316,174523.9786755
"chitobiose pos","mtab_TSQ_cm_PMI_2020_1112_55",0,0,0,566.302857142856
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_51",0.602,4639.82,7632204.84904801,38612.3139062366
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_52",0.633,2957.25,4879339.99687794,24822.4043978495
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_53",0.603,2957.25,4879339.99687794,24822.4043978495
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_54",0.644,3142.77,5182870.60028499,26342.8784417204
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_55",0.552,3158.3,5208279.34473794,26470.1583139785
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_56",0.552,5987.61,9837333.74062832,49658.4529294624
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_57",0.674,2966.52,4894506.71040523,24898.3789255914
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_58",0.633,4716.6,7757825.1580691,39241.582972043
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_59",0.654,6831.94,11218748.1130662,56578.3637178495
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_60",0.603,3281.55,5409929.55425669,27480.2835075269
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_61",0.613,4343.86,7147982.56905475,36186.7021230108
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_62",0.613,2957.25,4879339.99687794,24822.4043978495
