"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc"
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_82",0.818,1278.32,59921.0156755532,20561.7899025847
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_83",0.645,1728.48,80516.5726960966,28033.7034683461
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_84",0.836,521.57,25298.4641931998,8000.98798573307
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_85",0.773,520.87,25266.4380471309,7989.36914022029
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_86",0.874,1280.34,60013.4339827807,20595.3185710645
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_87",0.826,2260.04,104836.312988082,36856.7227837365
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_88",0.7,768.31,36587.223166118,12096.4650454806
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_89",0.746,1409.41,65918.5978015152,22737.6677001137
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_90",0.82,2588.71,119873.50360018,42312.1027190013
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_79",4.511,16.93,1546.13593367018,1432.20113038001
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_80",4.583,186.1,16349.9814225067,11324.8451427868
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_83",4.593,50.81,4510.93043128666,3413.41989931269
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_84",4.624,12.05,1119.09351488717,1146.83077641332
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_85",4.588,33.33,2981.27848859669,2391.23264780905
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_81",0,0,64.6137717856728,442.17652122918
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_82",0,0,64.6137717856728,442.17652122918
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_86",0,0,64.6137717856728,442.17652122918
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_87",0,0,64.6137717856728,442.17652122918
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_88",0,0,64.6137717856728,442.17652122918
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_89",0,0,64.6137717856728,442.17652122918
"biotin neg","mtab_TSQ_cm_PMI_2020_1112_90",0,0,64.6137717856728,442.17652122918
"citric acid","mtab_TSQ_cm_PMI_2020_1112_79",0.847,4952.28,507141.579823254,238601.746434297
"citric acid","mtab_TSQ_cm_PMI_2020_1112_80",0.859,4525.08,463159.735271543,218341.195831347
"citric acid","mtab_TSQ_cm_PMI_2020_1112_81",0.887,11912.86,1223759.43457454,568716.875919036
"citric acid","mtab_TSQ_cm_PMI_2020_1112_82",0.954,10570.11,1085518.27874165,505035.100820462
"citric acid","mtab_TSQ_cm_PMI_2020_1112_83",0.933,4764.04,487761.564798876,229674.20419296
"citric acid","mtab_TSQ_cm_PMI_2020_1112_84",0.98,4111.41,420570.855038148,198722.324183589
"citric acid","mtab_TSQ_cm_PMI_2020_1112_85",0.973,6825.35,699981.1715238,327434.680698967
"citric acid","mtab_TSQ_cm_PMI_2020_1112_86",0.98,9029.2,926875.80662513,431955.313766175
"citric acid","mtab_TSQ_cm_PMI_2020_1112_87",0.953,6032.92,618397.526678031,289852.59241644
"citric acid","mtab_TSQ_cm_PMI_2020_1112_88",0.877,7985.18,819390.026314087,382441.221911091
"citric acid","mtab_TSQ_cm_PMI_2020_1112_89",0.973,8655.85,888438.02183257,414248.673860718
"citric acid","mtab_TSQ_cm_PMI_2020_1112_90",0.956,6798.56,697223.04040128,326164.127911858
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_79",4.835,381.38,2838.96939968548,1656.34640824381
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_80",4.907,506.41,3642.01082330242,2168.13006399238
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_81",4.794,346.7,2616.22704528226,1514.39122003809
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_82",4.99,459.22,3338.91936700806,1974.96785720381
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_83",4.853,372.31,2780.71469511694,1619.22029644952
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_84",4.94,346.7,2616.22704528226,1514.39122003809
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_85",4.796,529.77,3792.04719581855,2263.74924497524
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_86",4.839,434.91,3182.78134406855,1875.46005370667
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_87",4.919,399.78,2957.14873420161,1731.66288641524
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_88",4.751,407.98,3009.81561154032,1765.22783864381
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_89",4.855,346.7,2616.22704528226,1514.39122003809
"desthiobiotin neg","mtab_TSQ_cm_PMI_2020_1112_90",4.741,346.7,2616.22704528226,1514.39122003809
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_79",0.519,5385.37,267750.858787004,87650.5785869962
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_80",0.539,11254.64,557620.23923564,179446.828724862
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_81",0.52,5738.54,285193.090801044,93174.2095770835
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_82",0.564,3954.86,197101.349150273,65277.1907917987
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_83",0.571,7292.64,361946.418583754,117480.56323593
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_84",0.562,4388.51,218518.298248125,72059.5408749071
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_85",0.555,5347.32,265871.659171707,87055.4709641153
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_86",0.545,3787.04,188813.11578788,62652.4611920126
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_87",0.597,4355.27,216876.653170268,71539.6623628293
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_88",0.538,12005.96,594726.159208425,191197.584552006
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_89",0.538,8911.57,441901.546919937,142800.867675101
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_90",0.564,3925.46,195649.352601266,64817.3704471812
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_79",2.206,3960.93,482822.298751083,494338.248612606
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_80",2.167,4.58,1454.10328560336,159.00959759154
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_81",2.291,1663.27,203266.534475118,207342.439264283
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_82",2.179,2092.58,255500.583534298,260966.635581983
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_83",2.187,40.77,5857.33227037359,4679.42529892063
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_84",2.253,2002.22,244506.503095949,249679.960733349
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_86",2.331,10133.68,1233859.37296331,1265363.28371565
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_87",2.242,9088.9,1106741.23041818,1134862.04258731
