OrthologID,Log2 Fold Change,Post-p (Low N /Replete > 2),Post-p (Replete /Low N > 2)
OG_106,-0.084205646,0,0
OG_1060,0.08133799,0,0
OG_10600,-0.205852468,0,0
OG_10604,-0.032457356,0,0
OG_10608,0.09610483,0,0
OG_10609,-0.481418039,0,2.71E-06
OG_1061,0.131439828,0,0
OG_10611,-0.114872125,0,0
OG_10612,-0.018097502,0,0
OG_1062,-0.054179287,0,0
OG_10628,0.044031285,0,0
OG_1063,0.023156879,0,0
OG_10634,-0.069869065,0,0
OG_1064,-0.024738215,0,0
OG_10641,0.118821784,0,0
OG_10648,0.043298623,0,0
OG_10649,0.065663313,0,0
OG_1065,0.105303376,0,0
OG_10650,0.129702038,0,0
OG_10653,-0.289540532,0,0
OG_10655,0.062193956,0,0
OG_10656,0.108496691,0,0
OG_1066,0.04441894,0,0
OG_10660,0.01171816,0,0
OG_10661,0.015076225,0,0
OG_10662,0.147260576,0,0
OG_10663,-0.21380665,0,0
OG_10664,-0.002143992,0,0
OG_10665,0.106444242,0,0
OG_10666,-0.113149502,0,0
OG_10667,0.082882583,0,0
OG_10668,0.058789962,0,0
OG_10669,0.212755724,0,0
OG_1067,-0.108430239,0,0
OG_10670,-0.136579235,0,0
OG_10671,-0.098633316,0,0
OG_10672,-0.011482574,0,0
OG_10673,0.04199424,0,0
OG_10674,-0.097704744,0,0
OG_10675,0.063118919,0,0
OG_10676,-0.039914605,0,0
OG_10677,0.120223193,0,0
OG_10678,0.15053123,0,0
OG_10679,-0.09181458,0,0
OG_1068,-0.55256808,0,0.000244117
OG_10680,0.06334182,0,0
OG_10681,0.060035077,0,0
OG_10682,0.073594117,0,0
OG_10683,-0.011621496,0,0
OG_10684,-0.035217249,0,0
OG_10685,-0.251349872,0,0
OG_10686,-0.136112228,0,0
OG_10687,-0.007713406,0,0
OG_10688,-0.153577312,0,0
OG_10689,-0.135465309,0,0
OG_1069,-0.312658416,0,0
OG_10690,0.139228226,0,0
OG_10691,-0.095879037,0,0
OG_10692,-0.048809044,0,0
OG_10693,0.124956044,0,0
OG_10694,-0.24880973,0,0
OG_10695,-0.209913974,0,0
OG_10696,-0.127880206,0,0
OG_10697,-0.121866917,0,0
OG_10698,0.092682898,0,0
OG_10699,0.099563019,0,0
OG_107,-0.241835349,0,0
OG_1070,-0.091617358,0,0
OG_10700,0.024321757,0,0
OG_10701,0.126027771,0,0
OG_10702,-0.063575675,0,0
OG_10703,-0.306741088,0,0
OG_10704,0.178247911,0,0
OG_10705,-0.323585801,0,0
OG_10706,0.085417654,0,0
OG_10707,0.082315512,0,0
OG_10708,-0.122741765,0,0
OG_10709,0.495967799,4.70E-05,0
OG_1071,0.005132002,0,0
OG_10710,-0.057307927,0,0
OG_10711,-0.0406011,0,0
OG_10712,-0.146570579,0,0
OG_10713,0.042464104,0,0
OG_10714,-0.054864374,0,0
OG_10715,0.039517811,0,0
OG_10716,-0.084051371,0,0
OG_10717,-0.211703673,0,0
OG_10718,-0.066228479,0,0
OG_10719,-0.164688961,0,0
OG_1072,-0.03170931,0,0
OG_10720,0.028012935,0,0
OG_10721,0.03620706,0,0
OG_10722,-0.271959619,0,0
OG_10723,-0.025597881,0,0
OG_10724,0.104748454,0,0
OG_10725,-0.105783948,0,0
OG_10726,-0.025946412,0,0
OG_10727,-0.16244739,0,0
OG_10728,0.033105831,0,0
OG_10729,0.110959557,0,0
OG_1073,-0.08316419,0,0
OG_10730,0.290243473,0,0
OG_10731,-0.08642978,0,0
OG_10732,-0.421530115,0,0
OG_10733,-0.075805589,0,0
OG_10734,0.015070605,0,0
OG_10735,0.116494991,0,0
OG_10736,0.056252468,0,0
OG_10737,0.072117754,0,0
OG_10738,-0.043169438,0,0
OG_10739,0.057601315,0,0
OG_1074,-0.127570209,0,0
OG_10740,0.120119044,0,0
OG_10741,-0.141100553,0,0
OG_10742,-0.029250707,0,0
OG_10743,0.101966514,0,0
OG_10744,0.125873415,0,0
OG_10745,-0.136307158,0,0
OG_10746,0.066446356,0,0
OG_10747,0.158234216,0,0
OG_10748,0.085260885,0,0
