"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc","perCellMq","perCellPool","expFactor","ionization_mode","perCellPoolConc","perCellMqConc"
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_80",4.655,720.08,249706.730433559,306808.539552851,0.0491443315770055,0.0603824357167417,"N3","neg",0.391788448720099,0.31887056564369
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_81",4.333,815.45,282669.845898608,348770.905629422,0.0218008511740036,0.0268988812134451,"R1","neg",0.174532060819135,0.141453744964986
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_82",4.45,685.16,237637.190829496,291443.898435164,0.0206625079256074,0.0253409907778587,"R2","neg",0.164423765753041,0.134067661079726
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_83",4.38,547.03,189894.765127627,230667.326912078,0.0257982298846733,0.0313374027059744,"P3","neg",0.203331188074062,0.167390539090795
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_84",4.352,526.87,182926.783500539,221797.018637949,0.0162134740076252,0.0196586859935935,"R3","neg",0.127554412104811,0.105200324472004
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_86",4.413,572.28,198622.023861951,241777.212027244,0.0285613317070681,0.0347669357992233,"P1","neg",0.225583543986655,0.185318788652142
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_87",4.505,528.52,183497.079615852,222523.011130623,0.0274956262832941,0.033343362010391,"P2","neg",0.216346755842142,0.178404011700585
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_88",4.447,526.87,182926.783500539,221797.018637949,0.0316373603037992,0.0383600042523931,"N2","neg",0.248896990996581,0.205277448117046
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_89",4.324,526.87,182926.783500539,221797.018637949,0.0385756444152203,0.0467726090165922,"N1","neg",0.303481761073139,0.250296161531406
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_80",0.72,1214.56,57003.891285048,19503.4790598778,0.0112188331072532,0.00383844456318669,"N3","neg",0.026270923025027,0.0767834720912545
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_81",0.8,1624.69,75768.0102668222,26310.9606458155,0.00584359152397833,0.00202922719068604,"R1","neg",0.0138883525473003,0.0399944666619556
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_82",0.818,1278.32,59921.0156755532,20561.7899025847,0.0052101207600746,0.0017878436676676,"R2","neg",0.0122362854538882,0.0356588923418972
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_83",0.645,1728.48,80516.5726960966,28033.7034683461,0.010938611449051,0.00380853008827855,"P3","neg",0.026066183616991,0.0748655906443844
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_84",0.836,521.57,25298.4641931998,8000.98798573307,0.00224229598192259,0.000709157009485287,"R3","neg",0.00485358298189916,0.0153466291282088
