"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc","perCellMq","perCellPool","expFactor","ionization_mode","perCellPoolConc","perCellMqConc"
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_86",0.874,1280.34,60013.4339827807,20595.3185710645,0.00862977610203875,0.00296155337602316,"P1","neg",0.0202693407434341,0.0590635555542998
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_87",0.826,2260.04,104836.312988082,36856.7227837365,0.0157089153073896,0.00552269648002094,"P2","neg",0.0377982101158096,0.107514306395111
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_88",0.7,768.31,36587.223166118,12096.4650454806,0.00632779486782248,0.00209209507608849,"N2","neg",0.0143186303202278,0.0433084310986413
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_89",0.746,1409.41,65918.5978015152,22737.6677001137,0.0139009298719435,0.00479492487237902,"N1","neg",0.0328172258735132,0.0951401674898604
"citric acid","mtab_TSQ_cm_PMI_2020_1112_80",0.859,4525.08,463159.735271543,218341.195831347,0.0911536327586458,0.0429713372411909,"N3","neg",0.223669254846923,0.474461965223016
"citric acid","mtab_TSQ_cm_PMI_2020_1112_81",0.887,11912.86,1223759.43457454,568716.875919036,0.0943821836430049,0.0438621669483007,"R1","neg",0.228306094879766,0.491266831371044
"citric acid","mtab_TSQ_cm_PMI_2020_1112_82",0.954,10570.11,1085518.27874165,505035.100820462,0.094385605046073,0.0439127046443671,"R2","neg",0.228569147638804,0.491284640048267
"citric acid","mtab_TSQ_cm_PMI_2020_1112_83",0.933,4764.04,487761.564798876,229674.20419296,0.0662650440581243,0.0312024816185275,"P3","neg",0.162411417960272,0.344914866011474
"citric acid","mtab_TSQ_cm_PMI_2020_1112_84",0.98,4111.41,420570.855038148,198722.324183589,0.0372767426182051,0.0176134909072842,"R3","neg",0.0916796320387477,0.194028433365631
"citric acid","mtab_TSQ_cm_PMI_2020_1112_86",0.98,9029.2,926875.80662513,431955.313766175,0.133282336216029,0.0621140534127333,"P1","neg",0.323308626966132,0.693745243681184
"citric acid","mtab_TSQ_cm_PMI_2020_1112_87",0.953,6032.92,618397.526678031,289852.59241644,0.0926621138802235,0.0434321819999031,"P2","neg",0.226067988756522,0.482313730378011
"citric acid","mtab_TSQ_cm_PMI_2020_1112_88",0.877,7985.18,819390.026314087,382441.221911091,0.141714280411878,0.0661435712206177,"N2","neg",0.344282590155204,0.737634189110337
"citric acid","mtab_TSQ_cm_PMI_2020_1112_89",0.973,8655.85,888438.02183257,414248.673860718,0.187354025251715,0.0873568606878202,"N1","neg",0.454699462251823,0.975192719403055
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_80",0.539,11254.64,557620.23923564,179446.828724862,0.109744234300232,0.0353166069492196,"N3","neg",0.255806221564679,0.794902464872027
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_81",0.52,5738.54,285193.090801044,93174.2095770835,0.021995455895348,0.0071860409085659,"R1","neg",0.0520501297158185,0.159318092824482
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_82",0.564,3954.86,197101.349150273,65277.1907917987,0.017137924307006,0.0056758391537488,"R2","neg",0.0411113947106244,0.124133886042344
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_83",0.571,7292.64,361946.418583754,117480.56323593,0.0491723766386195,0.0159603692882447,"P3","neg",0.115604587050882,0.356166714751699
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_84",0.562,4388.51,218518.298248125,72059.5408749071,0.0193680809394761,0.0063869022929235,"R3","neg",0.0462617868529878,0.140287418075301
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_86",0.545,3787.04,188813.11578788,62652.4611920126,0.027150836175201,0.00900926136777764,"P1","neg",0.0652561304344317,0.196659685464298
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_87",0.597,4355.27,216876.653170268,71539.6623628293,0.0324972986906661,0.0107196682632734,"P2","neg",0.0776449968366899,0.23538533022357
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_88",0.538,12005.96,594726.159208425,191197.584552006,0.102858452004193,0.0330678031720276,"N2","neg",0.239517624018743,0.745027176620259
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_89",0.538,8911.57,441901.546919937,142800.867675101,0.0931883052569449,0.0301138815661917,"N1","neg",0.218121697567664,0.674984102976567
"inosine","mtab_TSQ_cm_PMI_2020_1112_80",2.111,89,21756.4651343284,17390.5908157796,0.00428185069200401,0.00342261083586652,"N3","neg",0.0127599852211405,0.0159633549267569
"inosine","mtab_TSQ_cm_PMI_2020_1112_81",2.29,287.79,70374.3059851741,55399.5202767945,0.00542760323931717,0.00427267610673551,"R1","neg",0.0159291507539631,0.0202348851333451
"inosine","mtab_TSQ_cm_PMI_2020_1112_82",2.183,424.73,103865.563725075,81582.6421661822,0.00903109074036683,0.00709359500702153,"R2","neg",0.0264459419416975,0.0336692045646155
"inosine","mtab_TSQ_cm_PMI_2020_1112_83",2.071,2847.82,696477.888224676,544880.880949273,0.0946202843345148,0.0740250117850539,"P3","neg",0.275975885564828,0.352758022348413
"inosine","mtab_TSQ_cm_PMI_2020_1112_84",2.252,142.88,34933.8345444776,27692.5231029142,0.00309631431513089,0.00245449023342903,"R3","neg",0.00915069244092395,0.0115435048843563
"inosine","mtab_TSQ_cm_PMI_2020_1112_86",2.325,8634.22,2111651.05739482,1651248.75374578,0.303649943380665,0.237445286628411,"P1","neg",0.885230163025802,1.13205064079583
"inosine","mtab_TSQ_cm_PMI_2020_1112_87",2.236,3924.61,959827.175662586,750764.653545109,0.143822721178001,0.112496309934732,"P2","neg",0.419402415593826,0.536191780106629
"inosine","mtab_TSQ_cm_PMI_2020_1112_88",2.165,7.35,1787.41887711443,1778.99520990468,0.000309135786170508,0.000307678904955553,"N2","neg",0.00114707118873934,0.00115250265134589
"inosine","mtab_TSQ_cm_PMI_2020_1112_89",2.321,46.22,11293.8099122388,9210.99424481413,0.00238164137000928,0.00194241669753923,"N1","neg",0.00724160868485714,0.00887910140554479
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_80",0.566,200.16,16710.0230876112,8794.64072226537,0.00328866952785433,0.00173085739020817,"N3","neg",0.0137228049647837,0.0260736504230106
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_82",0.52,377.73,29655.4866768828,18540.9698484304,0.00257853884890639,0.00161213375357781,"R2","neg",0.0127815250422406,0.0204435015373534
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_84",0.554,359.09,28296.5665816864,17517.8714933495,0.0025080288298835,0.00155267341769831,"R3","neg",0.0123101040014137,0.0198844749852018
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_86",0.519,1216.2,90782.8328259877,64562.2830343042,0.0130543358245734,0.0092838887936718,"P1","neg",0.0736057146885896,0.103499055138138
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_81",0,0,2117.67082073834,0,0.000163324907372704,0,"R1","neg",0,0.00129489342244275
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_83",0,0,2117.67082073834,0,0.000287697023226283,0,"P3","neg",0,0.00228095634049221
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_87",0,0,2117.67082073834,0,0.000317316687545952,0,"P2","neg",0,0.00251579075196981
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_88",0,0,2117.67082073834,0,0.000366253172326422,0,"N2","neg",0,0.00290377525034823
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_89",0,0,2117.67082073834,0,0.000446574935643852,0,"N1","neg",0,0.00354059252869145
"nadp","mtab_TSQ_cm_PMI_2020_1112_80",0.774,450.82,37121.1069246371,35537.5220754876,0.00730573815148022,0.00699407567137085,"N3","neg",0.00939546173663821,0.00981413220064242
"nadp","mtab_TSQ_cm_PMI_2020_1112_81",0.791,5321.66,373599.333159395,401827.916891351,0.0288137683558806,0.0309908918153599,"R1","neg",0.0416314824026543,0.0387068528846746
"nadp","mtab_TSQ_cm_PMI_2020_1112_82",0.782,2002.47,144309.27975256,152222.630006775,0.0125476640513117,0.0132357283302029,"R2","neg",0.0177801592270428,0.0168558510112864
"nadp","mtab_TSQ_cm_PMI_2020_1112_83",0.932,1029.29,77081.8856671169,79038.8492981294,0.0104719906578145,0.0107378547409811,"P3","neg",0.0144246513896658,0.0140675040069511
"nadp","mtab_TSQ_cm_PMI_2020_1112_84",0.798,3680.79,260247.831758851,278433.405853931,0.0230667230627303,0.0246785774192218,"R3","neg",0.0331518617686783,0.0309865840903941
"nadp","mtab_TSQ_cm_PMI_2020_1112_86",0.818,518.37,41787.4692321976,40617.3268257589,0.00600892965811901,0.0058406662160043,"P1","neg",0.00784603406188028,0.0080720700395199
"nadp","mtab_TSQ_cm_PMI_2020_1112_87",0.798,2794.78,199042.151993911,211804.866893341,0.02982493583715,0.0317373305192321,"P2","neg",0.0426342076533525,0.040065200409922
"nadp","mtab_TSQ_cm_PMI_2020_1112_88",0.764,1862.7,134653.950963105,141711.833412469,0.0232885282375137,0.0245091956857649,"N2","neg",0.0329243235391315,0.0312845451263601
"nadp","mtab_TSQ_cm_PMI_2020_1112_89",0.81,2467.33,176421.865722843,187180.409965489,0.0372038857785639,0.0394726501945112,"N1","neg",0.0530254163626378,0.049977681356462
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_80",0.782,2326.13,613012.570446091,202830.055022554,0.120645899173675,0.039918617573918,"N3","neg",0.255724648135285,0.772875715398302
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_81",0.479,1856.48,489987.258146787,161907.338086907,0.0377901620813413,0.0124870686874674,"R1","neg",0.0799940338723088,0.242089443186043
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_82",0.557,1331.96,352588.691539248,116203.551251847,0.0306575187493968,0.0101038763770262,"R2","neg",0.0647269466817822,0.196396660790498
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_83",0.459,2326.87,613206.414225718,202894.534550995,0.0833074046581483,0.0275643188013761,"P3","neg",0.176581158240718,0.533679722345601
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_84",0.573,2888.13,760229.062540649,251799.642838659,0.0673818995199671,0.0223179289886868,"R3","neg",0.142971998646296,0.431658549134959
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_86",0.468,3894.53,1023856.6028324,339491.801518602,0.147227923094232,0.0488180402478539,"P1","neg",0.312735683842754,0.943164145382652
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_87",0.582,2298.37,605740.80919957,200411.201361033,0.0907656020965508,0.0300300773567893,"P2","neg",0.192377177173538,0.581458053148948
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_88",0.566,2751.9,724543.470515664,239929.310190638,0.125310478836477,0.0414960012344002,"N2","neg",0.265829604320309,0.802757711956932
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_89",0.575,1865.15,492258.373781057,162662.794183643,0.103807565103427,0.034302369439497,"N1","neg",0.219746120688642,0.665006823212216
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_80",1.233,2190.68,153464.411537367,118806.798295761,0.0302030542499499,0.0233821518503396,"N3","neg",0.198002810147681,0.255763013379201
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_81",1.271,5623.39,392356.21834578,307237.163856322,0.0302603890986638,0.0236956002967404,"R1","neg",0.20065712843374,0.256248531617104
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_82",1.258,5724.23,399373.953545829,312772.533305861,0.034725488260559,0.0271955114676541,"R2","neg",0.230294787599747,0.294059516136498
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_83",1.225,3221.44,225197.857935647,175387.891252988,0.030594345792814,0.0238273926850571,"P3","neg",0.20177316186855,0.259076516155593
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_84",1.276,4380.37,305851.010012133,239004.568327108,0.0271087005748561,0.021183854447776,"R3","neg",0.179387369360454,0.229559662756001
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_86",1.276,4595.17,320799.537590182,250795.49809467,0.0461301411919731,0.0360637419378015,"P1","neg",0.30539200557034,0.39063545763378
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_87",1.276,3420.64,239060.738259425,186322.496512292,0.0358214132451059,0.0279189932776989,"P2","neg",0.236421316603429,0.303339937717892
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_88",1.245,1967.64,137942.439512189,106563.553531529,0.0238572754438625,0.0184302674207369,"N2","neg",0.15606967076583,0.202026212582458
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_89",1.271,1659.01,116464.022070785,89622.0514171774,0.0245599611855403,0.0188995199121371,"N1","neg",0.160043356017758,0.207976638034891
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_80",3.556,129.2,1902.25183669903,0,0.000374378755604182,0,"N3","neg",0,0.00287673855543401
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_81",3.604,186.8,2785.99497300971,0,0.000214869264123393,0,"R1","neg",0,0.00165106242602884
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_82",3.438,277.82,4182.49324153398,0,0.000363666980956706,0,"R2","neg",0,0.00279442893004999
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_83",3.685,147.55,2183.79153377023,0,0.000296679879356038,0,"P3","neg",0,0.00227969785889072
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_84",3.646,204.11,3051.57819678641,0,0.000270472605645999,0,"R3","neg",0,0.00207832031386199
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_86",3.567,169.56,2521.48574262783,0,0.000362583107802238,0,"P1","neg",0,0.00278610041341815
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_87",3.687,372.67,5637.7542915178,0,0.000844774126112138,0,"P2","neg",0,0.00649127190803856
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_88",3.48,208.45,3118.16578726537,0,0.000539289723521562,0,"N2","neg",0,0.00414391980575966
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_89",3.693,160.97,2389.69141032039,0,0.000503938703466866,0,"N1","neg",0,0.0038722814159126
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_80",4.42,112.47,220.142073867422,0,4.33257648017975e-05,0,"N3","neg",0,0.000332916588303346
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_81",4.494,161.97,279.159467821385,0,2.15301140184972e-05,0,"R1","neg",0,0.000165438097575666
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_82",4.61,296.16,439.150257612947,0,3.81840302302286e-05,0,"R2","neg",0,0.000293407332336166
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_83",4.593,87.13,189.929937245333,0,2.58030082069061e-05,0,"P3","neg",0,0.000198271155731567
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_84",4.561,140.4,253.442191304476,0,2.24635141039289e-05,0,"R3","neg",0,0.000172610374242576
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_86",4.522,98.44,203.414517560875,0,2.9250479866862e-05,0,"P1","neg",0,0.000224761640286322
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_87",4.613,142.49,255.934036826977,0,3.83497472793647e-05,0,"P2","neg",0,0.000294680707540838
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_88",4.491,63.62,161.899655793663,0,2.80006986696407e-05,0,"N2","neg",0,0.00021515828084863
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_89",4.544,76.59,177.363405280186,0,3.74024378684869e-05,0,"N1","neg",0,0.00028740155116403
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_80",0.846,2248.18,76973.1673079536,0,0.0151489503312403,0,"N3","neg",0,0.054859673829363
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_81",0.725,2809.48,95810.8022737247,0,0.00738938755420195,0,"R1","neg",0,0.0267595696175923
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_82",0.688,1633.83,56355.135878733,0,0.00490006819925121,0,"R2","neg",0,0.0177448692664996
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_83",0.607,1633.83,56355.135878733,0,0.00765614970799443,0,"P3","neg",0,0.027725609140271
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_84",0.563,1989.88,68304.4320297446,0,0.00605407317685988,0,"R3","neg",0,0.0219239269097555
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_86",0.768,1642.62,56650.1346518474,0,0.00814614238432116,0,"P1","neg",0,0.0295000448479799
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_87",0.732,2894.11,98651.0464339834,0,0.0147821006791128,0,"P2","neg",0,0.0535311822956211
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_88",0.743,1996.95,68541.7063557877,0,0.0118543529729143,0,"N2","neg",0,0.0429287787821913
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_89",0.807,1633.83,56355.135878733,0,0.0118841847050955,0,"N1","neg",0,0.0430368099699265
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_80",0.539,3668.32,77072.7156531067,0,0.0151685422616366,0,"N3","neg",0,0.0758123863536415
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_81",0.572,4823.63,100464.012447464,0,0.00774826538977921,0,"R1","neg",0,0.0387258366142503
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_82",0.546,1201.22,27121.9073667085,0,0.00235824461636687,0,"R2","neg",0,0.011786508478443
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_83",0.535,1502.23,33216.3878507946,0,0.00451262576478785,0,"P3","neg",0,0.0225541071810668
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_84",0.544,1521.97,33616.0591067524,0,0.00297951502856069,0,"R3","neg",0,0.0148916184954053
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_86",0.58,2183.46,47009.0955355025,0,0.00675978597303955,0,"P1","neg",0,0.0337854156989182
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_87",0.571,2141.21,46153.6694684196,0,0.00691577244696769,0,"P2","neg",0,0.0345650362203503
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_88",0.564,2630.06,56051.3033830585,0,0.0096941259595381,0,"N2","neg",0,0.0484512492979713
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_89",0.581,3087.57,65314.4035002447,0,0.0137735172313366,0,"N1","neg",0,0.0688400501366283
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_80",0.503,1739.86,81425.0049162591,0,0.0160251084675055,0,"N3","neg",0,0.047116042771685
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_81",0.466,1218.3,57355.1978474448,0,0.0044235073194761,0,"R1","neg",0,0.0130057253894981
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_82",0.51,5622.12,260589.912483893,0,0.0226582426481178,0,"R2","neg",0,0.0666183777728972
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_83",0.508,1229.51,57872.535329693,0,0.00786229662224156,0,"P3","neg",0,0.0231162431560672
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_84",0.508,1016.31,48033.4317422415,0,0.00425737982238986,0,"R3","neg",0,0.0125172874937959
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_86",0.517,799.77,38040.1883518721,0,0.00547008038983787,0,"P1","neg",0,0.0160827954540688
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_87",0.517,1361.07,63943.9821775594,0,0.00958151399848166,0,"P2","neg",0,0.0281709808258311
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_88",0.51,1873.2,87578.5981261596,0,0.015146801418562,0,"N2","neg",0,0.0445336981611255
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_89",0.466,1654.12,77468.134646146,0,0.0163364989994007,0,"N1","neg",0,0.0480315741485379
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_80",0.476,3545.44,245576.300720228,0,0.0483314291492855,0,"N3","neg",0,0.210036196381233
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_81",0.509,506.34,36652.893389144,0,0.00282684653303971,0,"R1","neg",0,0.0122847617793217
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_82",0.509,713.01,50860.4550334187,0,0.00442230675913871,0,"R2","neg",0,0.0192182293648199
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_83",0.648,460.68,33513.9895101215,0,0.00455305655821291,0,"P3","neg",0,0.0197864350015771
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_84",0.481,2298.86,159879.962623165,0,0.0141707494590213,0,"R3","neg",0,0.0615825016688597
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_86",0.508,1400.84,98145.4365294337,0,0.0141130591348744,0,"P1","neg",0,0.0613317940762001
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_87",0.657,249.81,19017.69820549,0,0.00284965582951682,0,"P2","neg",0,0.0123838852267038
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_88",0.483,667.13,47706.427219806,0,0.00825087173063167,0,"N2","neg",0,0.0358562067299625
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_89",0.474,1325.32,92953.8022555883,0,0.0196021203359961,0,"N1","neg",0,0.0851858690886798
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_80",0.527,9734.51,209156.168098007,0,0.041163648486917,0,"N3","neg",0,0.279777397450669
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_81",0.534,12614.04,269578.75437602,0,0.0207912035510606,0,"R1","neg",0,0.141311789241219
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_82",0.525,8080.97,174459.129583337,0,0.0151691876811348,0,"R2","neg",0,0.103100575553149
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_83",0.533,6024.61,131309.522002011,0,0.0178391080574427,0,"P3","neg",0,0.121247251121068
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_84",0.533,15032.25,320321.237476857,0,0.0283912500867106,0,"R3","neg",0,0.192967104511049
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_86",0.533,8609.24,185544.077353663,0,0.0266807569298716,0,"P1","neg",0,0.181341377896225
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_87",0.533,6451.67,140270.730843693,0,0.0210184903314915,0,"P2","neg",0,0.142856591663777
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_88",0.534,12478.46,266733.812928085,0,0.0461318653470291,0,"N2","neg",0,0.313544928614349
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_89",0.535,12321.25,263434.998611593,0,0.055553236319464,0,"N1","neg",0,0.377579258611187
"malic acid","mtab_TSQ_cm_PMI_2020_1112_80",0.558,4606.33,331870.022790314,0,0.0653147410650797,0,"N3","neg",0,0.487096286561859
"malic acid","mtab_TSQ_cm_PMI_2020_1112_81",0.566,13558.92,977705.168902162,0,0.0754053012323627,0,"R1","neg",0,0.562348431891735
"malic acid","mtab_TSQ_cm_PMI_2020_1112_82",0.557,12372.12,892090.039492065,0,0.0775670569367475,0,"R2","neg",0,0.578470109156145
"malic acid","mtab_TSQ_cm_PMI_2020_1112_83",0.564,4252.44,306340.583839404,0,0.0416180235383655,0,"P3","neg",0,0.310373805193269
"malic acid","mtab_TSQ_cm_PMI_2020_1112_84",0.573,9410.13,678413.634738599,0,0.0601302970662052,0,"R3","neg",0,0.448432374272542
"malic acid","mtab_TSQ_cm_PMI_2020_1112_86",0.556,4965.41,357773.865618573,0,0.051446953632666,0,"P1","neg",0,0.383674797767664
"malic acid","mtab_TSQ_cm_PMI_2020_1112_87",0.555,5883.06,423972.65522354,0,0.0635290420249025,0,"P2","neg",0,0.473779118688213
