"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc","perCellMq","perCellPool","expFactor","ionization_mode","perCellPoolConc","perCellMqConc"
"malic acid","mtab_TSQ_cm_PMI_2020_1112_84",0.573,9410.13,678413.634738599,0,0.0601302970662052,0,"R3","neg",0,448432.374272542
"malic acid","mtab_TSQ_cm_PMI_2020_1112_86",0.556,4965.41,357773.865618573,0,0.051446953632666,0,"P1","neg",0,383674.797767663
"malic acid","mtab_TSQ_cm_PMI_2020_1112_87",0.555,5883.06,423972.65522354,0,0.0635290420249025,0,"P2","neg",0,473779.118688213
"malic acid","mtab_TSQ_cm_PMI_2020_1112_88",0.575,4136.08,297946.434481333,0,0.0515301177801033,0,"N2","neg",0,384295.009173714
"malic acid","mtab_TSQ_cm_PMI_2020_1112_89",0.566,6691.1,482264.236929417,0,0.101699999103258,0,"N1","neg",0,758445.813284048
"phosphoenolpyruvate","mtab_TSQ_cm_PMI_2020_1112_80",0.789,1689.8,107984.181499914,0,0.0212521721440557,0,"N3","neg",0,126470.912544964
"phosphoenolpyruvate","mtab_TSQ_cm_PMI_2020_1112_81",0.495,269.88,17257.3927138751,0,0.00133097270779096,0,"R1","neg",0,7920.57074381671
"phosphoenolpyruvate","mtab_TSQ_cm_PMI_2020_1112_82",0.529,979.15,62576.6990707639,0,0.00544103191926607,0,"R2","neg",0,32379.3853800647
"phosphoenolpyruvate","mtab_TSQ_cm_PMI_2020_1112_83",0.589,1978.44,126427.037657445,0,0.0171757961781248,0,"P3","neg",0,102212.545692245
"phosphoenolpyruvate","mtab_TSQ_cm_PMI_2020_1112_84",0.563,269.88,17257.3927138751,0,0.00152958622488964,0,"R3","neg",0,9102.51264514187
"phosphoenolpyruvate","mtab_TSQ_cm_PMI_2020_1112_86",0.777,1410.03,90108.0802416244,0,0.0129573081535857,0,"P1","neg",0,77108.475086799
"phosphoenolpyruvate","mtab_TSQ_cm_PMI_2020_1112_87",0.786,441.81,28242.9811949048,0,0.00423199354282322,0,"P2","neg",0,25184.4414593146
"phosphoenolpyruvate","mtab_TSQ_cm_PMI_2020_1112_88",0.442,1043.36,66679.4422590784,0,0.0115322726351914,0,"N2","neg",0,68628.1399380588
"phosphoenolpyruvate","mtab_TSQ_cm_PMI_2020_1112_89",0.67,364.38,23295.5367926124,0,0.00491256844173861,0,"N1","neg",0,29234.5182202964
"taurine","mtab_TSQ_cm_PMI_2020_1112_81",0.516,2197.95,567061.366416003,0,0.0437344861333271,0,"R1","neg",0,349456.541217156
"taurine","mtab_TSQ_cm_PMI_2020_1112_82",0.525,1520.59,392798.652054345,0,0.0341537670636082,0,"R2","neg",0,272902.653324876
"taurine","mtab_TSQ_cm_PMI_2020_1112_83",0.682,833.18,215950.399309353,0,0.0293380285724325,0,"P3","neg",0,234422.921074171
"taurine","mtab_TSQ_cm_PMI_2020_1112_84",0.532,2254.98,581733.331988292,0,0.0515611660417874,0,"R3","neg",0,411994.934413004
"taurine","mtab_TSQ_cm_PMI_2020_1112_86",0.542,434.1,113280.085078441,0,0.0162893823294187,0,"P1","neg",0,130158.867993757
"taurine","mtab_TSQ_cm_PMI_2020_1112_87",0.532,1645.47,424926.217557894,0,0.0636719260077872,0,"P2","neg",0,508764.890194065
"taurine","mtab_TSQ_cm_PMI_2020_1112_89",0.543,361.75,94666.7813934494,0,0.0199633537915258,0,"N1","neg",0,159515.411838001
"taurine","mtab_TSQ_cm_PMI_2020_1112_80",0,0,1600.26296849089,0,0.000314944870718431,0,"N3","neg",0,2516.53911880488
"taurine","mtab_TSQ_cm_PMI_2020_1112_88",0,0,1600.26296849089,0,0.000276766994674809,0,"N2","neg",0,2211.48217878393
"udpglucose","mtab_TSQ_cm_PMI_2020_1112_81",0.487,1005.29,219945.760967439,0,0.0169632695909278,0,"R1","neg",0,29954.5639959876
"udpglucose","mtab_TSQ_cm_PMI_2020_1112_82",0.539,442.47,97616.8302788095,0,0.00848776457198476,0,"R2","neg",0,14988.1062546084
"udpglucose","mtab_TSQ_cm_PMI_2020_1112_83",0.52,124.46,28497.3546946244,0,0.00387151961257533,0,"P3","neg",0,6836.51706264406
"udpglucose","mtab_TSQ_cm_PMI_2020_1112_86",0.547,285.83,63571.1252522168,0,0.0091413628761637,0,"P1","neg",0,16142.2618332398
"udpglucose","mtab_TSQ_cm_PMI_2020_1112_87",0.52,39.2,9966.09313584444,0,0.00149334241690029,0,"P2","neg",0,2637.01645223431
"udpglucose","mtab_TSQ_cm_PMI_2020_1112_89",0.504,21.32,6079.87501866187,0,0.00128212551667258,0,"N1","neg",0,2264.03940786258
"udpglucose","mtab_TSQ_cm_PMI_2020_1112_80",0,0,1445.97287893411,0,0.000284579316265578,0,"N3","neg",0,502.523955969589
"udpglucose","mtab_TSQ_cm_PMI_2020_1112_84",0,0,1445.97287893411,0,0.000128161897561929,0,"R3","neg",0,226.314493310841
"udpglucose","mtab_TSQ_cm_PMI_2020_1112_88",0,0,1445.97287893411,0,0.00025008237768651,0,"N2","neg",0,441.607589063235
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_52",4.814,3422.41,0.108432060703973,0.190829860201612,2.13403184430061e-08,3.75568808588319e-08,"N3","pos",0.273857961636517,0.155609730516305
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_53",4.826,3945.27,0.12499781035398,0.219983965263546,9.64042928576437e-09,1.69662160890624e-08,"R1","pos",0.123714569702949,0.0702962613808106
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_54",4.838,3527.33,0.11175623630218,0.196680085315597,9.71718319960562e-09,1.71012954978016e-08,"R2","pos",0.124699544245308,0.0708559369958117
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_55",4.995,8035.06,0.254574441308921,0.448026208581544,3.45853133720447e-08,6.08667812173601e-08,"P3","pos",0.443829526158379,0.252189830625964
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_56",4.826,3653.99,0.115769199333718,0.203742509190333,1.0261050177353e-08,1.80584483791356e-08,"R3","pos",0.131678929408893,0.0748217163289558
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_58",5.042,9302.44,0.294728784328899,0.518693939280765,4.23812345134964e-08,7.45868427186122e-08,"P1","pos",0.543873725525829,0.309036273249937
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_59",4.815,3165.17,0.100281937458807,0.176486437514598,1.50264771575897e-08,2.64451354764346e-08,"P2","pos",0.192833130205882,0.109570345322952
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_60",4.856,2934.66,0.0929786995904996,0.1636334505624,1.60807540767516e-08,2.83005601155246e-08,"N2","pos",0.20636255006216,0.117257941350092
"anthranilate_h2o loss","mtab_TSQ_cm_PMI_2020_1112_61",4.837,2934.66,0.0929786995904996,0.1636334505624,1.96073706920132e-08,3.45070616917729e-08,"N1","pos",0.251619233569877,0.142973389908219
"arginine","mtab_TSQ_cm_PMI_2020_1112_52",0.412,11456.82,3.54620796996706,217.840133008829,6.97922799335404e-07,4.2872723970143e-05,"N3","pos",246.112077899788,4.00644546116765
"arginine","mtab_TSQ_cm_PMI_2020_1112_53",0.522,66203.93,20.4919780715016,1258.8024353099,1.58043940901286e-06,9.70848675507752e-05,"R1","pos",557.318413035449,9.07255688296705
"arginine","mtab_TSQ_cm_PMI_2020_1112_54",0.522,57335.4,17.7469186424548,1090.17608394951,1.5430911543132e-06,9.47906003108605e-05,"R2","pos",544.148107410221,8.85815817630999
"arginine","mtab_TSQ_cm_PMI_2020_1112_55",0.522,22116.86,6.84579012349376,420.530280142103,9.30037577546806e-07,5.71313107724719e-05,"P3","pos",327.963896512468,5.33890687455112
"arginine","mtab_TSQ_cm_PMI_2020_1112_56",0.522,76706.77,23.7429024043697,1458.50357948171,2.10442081598016e-06,0.000129272539665496,"R3","pos",742.092650203766,12.0804868885199
"arginine","mtab_TSQ_cm_PMI_2020_1112_58",0.522,70806.93,21.9167360135622,1346.32394060017,3.1515697758405e-06,0.00019359788962464,"P1","pos",1111.35413102549,18.0916749474196
"arginine","mtab_TSQ_cm_PMI_2020_1112_59",0.522,40413,12.5089599636094,768.413337670122,1.87437145633123e-06,0.000115140829532042,"P2","pos",660.969170677623,10.7598820684916
"arginine","mtab_TSQ_cm_PMI_2020_1112_60",0.412,14029.59,4.3425526344457,266.758817163867,7.51048587336945e-07,4.61361898532682e-05,"N2","pos",264.846095598555,4.31141554154389
"arginine","mtab_TSQ_cm_PMI_2020_1112_61",0.432,10767.57,3.33286571240346,204.734724031789,7.02835528756657e-07,4.31745081970202e-05,"N1","pos",247.84447874294,4.03464712259849
"caffeine","mtab_TSQ_cm_PMI_2020_1112_52",4.312,6161.23,0.360063809890121,0.320193571468757,7.08635094912999e-08,6.30167197246335e-08,"N3","pos",0.324510632497212,0.364918427783613
"caffeine","mtab_TSQ_cm_PMI_2020_1112_53",4.324,2068.23,0.120867874357725,0.107484049502912,9.32190885877545e-09,8.28968424043619e-09,"R1","pos",0.0426885227892074,0.0480040623038027
"caffeine","mtab_TSQ_cm_PMI_2020_1112_54",4.337,2082.46,0.121699479088393,0.108223569780844,1.05817462427859e-08,9.41001852668199e-09,"R2","pos",0.0484577914757814,0.0544917155506767
"caffeine","mtab_TSQ_cm_PMI_2020_1112_55",4.314,1646.43,0.0962177777030547,0.0855634835695642,1.30717049862196e-08,1.16242615607519e-08,"P3","pos",0.0598602480084036,0.0673139965303033
"caffeine","mtab_TSQ_cm_PMI_2020_1112_56",4.319,3847.9,0.224872230719547,0.199971895815386,1.9931253357425e-08,1.77242450395392e-08,"R3","pos",0.0912726970469087,0.102637897715768
"caffeine","mtab_TSQ_cm_PMI_2020_1112_58",4.338,2618.6,0.153031633712468,0.136086282487115,2.20055518877111e-08,1.95688543461712e-08,"P1","pos",0.100771689305171,0.113319696625527
"caffeine","mtab_TSQ_cm_PMI_2020_1112_59",4.332,4813.03,0.281274667382235,0.250128832276392,4.2146845897986e-08,3.7479882019628e-08,"P2","pos",0.193006241411133,0.217039218795952
"caffeine","mtab_TSQ_cm_PMI_2020_1112_60",4.356,2272.74,0.132819489499609,0.118112249927353,2.29712563915137e-08,2.04276253905325e-08,"N2","pos",0.105194013031219,0.118292684440567
"caffeine","mtab_TSQ_cm_PMI_2020_1112_61",4.33,3010.3,0.175922678898894,0.156442578542336,3.70986171402108e-08,3.29906488583261e-08,"N1","pos",0.169888505372708,0.191042881405895
"carnitine","mtab_TSQ_cm_PMI_2020_1112_52",0.388,10339.36,0.543140155366011,4.18384573816305,1.0689443509091e-07,8.23415139296915e-07,"N3","pos",5.10803436288409,0.66311684299572
"carnitine","mtab_TSQ_cm_PMI_2020_1112_53",0.478,15702.43,0.824869263651127,6.35402431430027,6.36178648546704e-08,4.90052760992935e-07,"R1","pos",3.04002953469563,0.394651767088526
"carnitine","mtab_TSQ_cm_PMI_2020_1112_54",0.478,12233.65,0.642649696083066,4.95037453137123,5.58782671700283e-08,4.30434111058711e-07,"R2","pos",2.67018679316818,0.346639374503898
"carnitine","mtab_TSQ_cm_PMI_2020_1112_55",0.458,9368.25,0.492126472093789,3.79088384934329,6.68580402986671e-08,5.15012053890606e-07,"P3","pos",3.19486385788217,0.414752111033915
"carnitine","mtab_TSQ_cm_PMI_2020_1112_56",0.478,17303.36,0.908968218415262,7.00184431066342,8.0565198277757e-08,6.20599228630975e-07,"R3","pos",3.84987114535344,0.49978410842281
"carnitine","mtab_TSQ_cm_PMI_2020_1112_58",0.477,11430.3,0.600448665863276,4.62529711132266,8.63429602887699e-08,6.65105724287895e-07,"P1","pos",4.12596603156262,0.535626304520905
"carnitine","mtab_TSQ_cm_PMI_2020_1112_59",0.468,9211.28,0.483880631907568,3.72736557881982,7.25057916371619e-08,5.58517068451428e-07,"P2","pos",3.46474608220489,0.449787789312419
"carnitine","mtab_TSQ_cm_PMI_2020_1112_60",0.478,16509.44,0.867262558476138,6.68058276174334,1.4999388014945e-07,1.1554131102513e-06,"N2","pos",7.16757512562841,0.930483127477978
"carnitine","mtab_TSQ_cm_PMI_2020_1112_61",0.468,9211.28,0.483880631907568,3.72736557881982,1.02040864867793e-07,7.86027756146828e-07,"N1","pos",4.87610270562548,0.633007846574398
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_52",0.633,2957.25,1.76712528568374,334.837320546204,3.47784742633757e-07,6.58987295885367e-05,"N3","pos",526.936906992937,2.78094308838763
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_53",0.603,2957.25,1.76712528568374,334.837320546204,1.36289158245865e-07,2.58242564555269e-05,"R1","pos",206.494934075859,1.08979016668691
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_54",0.644,3142.77,1.87798405075266,355.842991256402,1.63290351133139e-07,3.09404794823666e-05,"R2","pos",247.405081419851,1.30569607494914
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_55",0.552,3158.3,1.88726411016146,357.601389629242,2.56395026657611e-07,4.8582080978027e-05,"P3","pos",388.47018213679,2.0501761287191
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_56",0.552,5987.61,3.5779379598657,677.952587327976,3.17125808495983e-07,6.00894327375084e-05,"R3","pos",480.48482918206,2.53578928910909
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_58",0.633,4716.6,2.81843710286785,534.041324233063,4.05283942965287e-07,7.67937568560057e-05,"P1","pos",614.055308300062,3.24071600004228
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_59",0.654,6831.94,4.08247321811622,773.552619403985,6.11727217413347e-07,0.000115910911378656,"P2","pos",926.842406674044,4.89146983378656
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_60",0.603,3281.55,1.96091300405292,371.556482961669,3.39141759596099e-07,6.42610453194577e-05,"N2","pos",513.841718530767,2.71183239721813
"ciliatine","mtab_TSQ_cm_PMI_2020_1112_61",0.613,4343.86,2.59570372591772,491.837498766704,5.473826304827e-07,0.000103718810878451,"N1","pos",829.352397876627,4.37696010301215
"citrulline","mtab_TSQ_cm_PMI_2020_1112_52",0.575,18310.95,13.0859734272896,218.198432274873,2.57542684573221e-06,4.29432402029401e-05,"N3","pos",245.109818509932,14.6999249185628
"citrulline","mtab_TSQ_cm_PMI_2020_1112_53",0.566,10628.43,7.59563826856647,126.65136235658,5.85811970633686e-07,9.76795912893727e-06,"R1","pos",55.7531913752127,3.34367563147081
"citrulline","mtab_TSQ_cm_PMI_2020_1112_54",0.566,5903.86,4.21921064054229,70.3520569042201,3.66859551721276e-07,6.11709778377755e-06,"R2","pos",34.914941688228,2.09394721302098
"citrulline","mtab_TSQ_cm_PMI_2020_1112_55",0.575,12310.13,8.79747004205025,146.690972729426,1.19518383982729e-06,1.99287612480345e-05,"P3","pos",113.748637260471,6.82182556979047
"citrulline","mtab_TSQ_cm_PMI_2020_1112_56",0.555,13542.86,9.67844410527595,161.380530257473,8.57836118540196e-07,1.43037502906654e-05,"R3","pos",81.6424103348482,4.89632487751253
"citrulline","mtab_TSQ_cm_PMI_2020_1112_58",0.575,14808.49,10.5829302487464,176.462133442455,1.52179791238707e-06,2.53747969585178e-05,"P1","pos",144.833315973275,8.68606114376182
"citrulline","mtab_TSQ_cm_PMI_2020_1112_59",0.556,15656.28,11.1888058265795,186.564637621557,1.6765565109157e-06,2.7955276260851e-05,"P2","pos",159.562079114446,9.56938647782934
"citrulline","mtab_TSQ_cm_PMI_2020_1112_60",0.575,19655.63,14.046952882108,234.22201750182,2.42943379311336e-06,4.05089195632525e-05,"N2","pos",231.215294310802,13.8666312392315
"citrulline","mtab_TSQ_cm_PMI_2020_1112_61",0.565,14649.85,10.4695577134872,174.571734566587,2.20782286667671e-06,3.68137296721726e-05,"N1","pos",210.124027809204,12.6017286910771
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_52",4.335,287.93,0.29212540482866,0.325195130158541,5.74926744346865e-08,6.40010674761972e-08,"N3","pos",0.0472200176158695,0.0424181221758374
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_53",4.172,282.87,0.286991675976394,0.319480243350628,2.21341713908298e-08,2.46398451740755e-08,"R1","pos",0.0181792893314609,0.0163306020384171
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_54",4.288,159.28,0.161600856045251,0.179894697779503,1.40511632761041e-08,1.56418092878009e-08,"R2","pos",0.0115405342323193,0.0103669548584929
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_55",4.265,1163.81,1.18076778173043,1.31443526006255,1.60413683089285e-07,1.78573132254716e-07,"P3","pos",0.131751340771382,0.118353290655967
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_56",4.264,625.46,0.634573527260563,0.706409704125867,5.62445870051384e-08,6.26116917238924e-08,"R3","pos",0.0461949355338668,0.0414972826846629
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_58",4.277,1069.84,1.08542855243251,1.20830326137885,1.56081809698479e-07,1.73750874046877e-07,"P1","pos",0.128193476402837,0.115157232435538
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_59",4.271,539.01,0.546863871276686,0.608770975955111,8.19433457139349e-08,9.12196492828103e-08,"P2","pos",0.0673019000448659,0.0604578389189267
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_60",4.283,436.9,0.443266034694689,0.493445463710855,7.66632801479884e-08,8.53418598794178e-08,"N2","pos",0.0629652642649425,0.0565622040667476
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_61",4.263,287.31,0.29149637085862,0.324494887110931,6.1470825296265e-08,6.84295603968319e-08,"N1","pos",0.0504873617707447,0.0453532037482219
"ectoine","mtab_TSQ_cm_PMI_2020_1112_52",0.588,15174.3,0.404340346725033,0.349280134333805,7.95774949073853e-08,6.87411937401854e-08,"N3","pos",0.483548070766639,0.559774162263543
"ectoine","mtab_TSQ_cm_PMI_2020_1112_53",0.578,11365.81,0.302857829106506,0.2616167891509,2.33578450444305e-08,2.01771386925553e-08,"R1","pos",0.141932601945381,0.164306732163974
"ectoine","mtab_TSQ_cm_PMI_2020_1112_54",0.588,20339.09,0.541963365866739,0.468162622818012,4.71236101702833e-08,4.07066497911558e-08,"R2","pos",0.286343906803291,0.331482907781959
"ectoine","mtab_TSQ_cm_PMI_2020_1112_55",0.598,9949.57,0.26512014284448,0.2290179544469,3.60180039063343e-08,3.11133265446673e-08,"P3","pos",0.218861329098673,0.253362436032177
"ectoine","mtab_TSQ_cm_PMI_2020_1112_56",0.588,22904.75,0.61032894806681,0.527218662928914,5.40957007291024e-08,4.67293303044804e-08,"R3","pos",0.328709414072034,0.380526876259865
"ectoine","mtab_TSQ_cm_PMI_2020_1112_58",0.587,21642.63,0.576698003745913,0.498167343056144,8.29276766973189e-08,7.16351714377077e-08,"P1","pos",0.503905257721635,0.583340438219745
"ectoine","mtab_TSQ_cm_PMI_2020_1112_59",0.588,12863.84,0.342774923773443,0.296098255817308,5.13621863796954e-08,4.43680466312151e-08,"P2","pos",0.312099371350697,0.361298441050193
"ectoine","mtab_TSQ_cm_PMI_2020_1112_60",0.578,24644.78,0.656694469607307,0.567270455245189,1.1357592992618e-07,9.81099620233544e-08,"N2","pos",0.690137605679195,0.79893028929502
"ectoine","mtab_TSQ_cm_PMI_2020_1112_61",0.588,22408.78,0.597113137006978,0.515802487670383,1.25919362971634e-07,1.08772553543534e-07,"N1","pos",0.765141766625872,0.885758040036818
"guanine","mtab_TSQ_cm_PMI_2020_1112_52",0.807,618173.94,29.6672672585097,106.446231526518,5.83876140064143e-06,2.09494909815969e-05,"N3","pos",138.619010001965,38.6340329560076
"guanine","mtab_TSQ_cm_PMI_2020_1112_53",0.787,2851317.25,136.83978799648,490.981512661395,1.05537392688979e-05,3.7866843747308e-05,"R1","pos",250.558087390379,69.8321926083365
"guanine","mtab_TSQ_cm_PMI_2020_1112_54",0.798,2455431.75,117.840538477374,422.812156329435,1.02462121006708e-05,3.67634354736521e-05,"R2","pos",243.257033505274,67.7973407044981
"guanine","mtab_TSQ_cm_PMI_2020_1112_55",0.787,2758216.25,132.371705357742,474.950020616696,1.79834114055229e-05,6.45245265574581e-05,"P3","pos",426.947174998069,118.992995470938
"guanine","mtab_TSQ_cm_PMI_2020_1112_56",0.797,3031395,145.482039619965,521.989933801365,1.28946085576782e-05,4.62658887997421e-05,"R3","pos",306.133056307431,85.3213032334957
"guanine","mtab_TSQ_cm_PMI_2020_1112_58",0.797,2645341.75,126.954657272262,455.513638098791,1.82557503322512e-05,6.55016793297575e-05,"P1","pos",433.412818962201,120.795013116199
"guanine","mtab_TSQ_cm_PMI_2020_1112_59",0.787,3296157.5,158.188463070185,567.580613949641,2.37033247178214e-05,8.50475902912068e-05,"P2","pos",562.744592676549,156.840632024227
"guanine","mtab_TSQ_cm_PMI_2020_1112_60",0.798,528746.5,25.3754853003049,91.0473067787943,4.38871419464466e-06,1.57467178623559e-05,"N2","pos",104.193196998319,29.0393316657491
"guanine","mtab_TSQ_cm_PMI_2020_1112_61",0.787,624926.62,29.9913403863274,107.609006745908,6.32458112551568e-06,2.26926134088667e-05,"N1","pos",150.152937265048,41.8486146067338
"histadine","mtab_TSQ_cm_PMI_2020_1112_52",0.443,209215.58,151.96858172051,2609.66955214731,2.99086626795875e-05,0.000513604361221922,"N3","pos",3310.37293729889,192.77255997156
"histadine","mtab_TSQ_cm_PMI_2020_1112_53",0.443,211210.22,153.417434678034,2634.54987547454,1.18322867098917e-05,0.000203189093492172,"R1","pos",1309.62999350417,76.2635301958859
"histadine","mtab_TSQ_cm_PMI_2020_1112_54",0.433,217685.95,158.121231133847,2715.32548219048,1.37486105609375e-05,0.000236097027155232,"R2","pos",1521.73398101986,88.6149568864808
"histadine","mtab_TSQ_cm_PMI_2020_1112_55",0.443,174106.14,126.466026883049,2171.72876130877,1.71810930750903e-05,0.000295041086539406,"P3","pos",1901.6505738924,110.738595392139
"histadine","mtab_TSQ_cm_PMI_2020_1112_56",0.443,195610.66,142.086333004516,2439.96734601428,1.25936345838646e-05,0.000216263285162614,"R3","pos",1393.89806743548,81.1707030864621
"histadine","mtab_TSQ_cm_PMI_2020_1112_58",0.412,171377.73,124.484183092772,2137.69569119624,1.79005025548789e-05,0.000307395094148581,"P1","pos",1981.27679116069,115.375459586715
"histadine","mtab_TSQ_cm_PMI_2020_1112_59",0.423,209238.06,151.984910589121,2609.94995847045,2.27737700840081e-05,0.000391080930696201,"P2","pos",2520.66342698164,146.785498446717
"histadine","mtab_TSQ_cm_PMI_2020_1112_60",0.433,159332.7,115.734996603501,1987.45091475224,2.00164771786585e-05,0.000343731516363467,"N2","pos",2215.47867459534,129.013710465089
"histadine","mtab_TSQ_cm_PMI_2020_1112_61",0.433,164119.39,119.211919739129,2047.15812751607,2.5139438511468e-05,0.000431705201816745,"N1","pos",2782.50210645662,162.03311963563
"histidinol","mtab_TSQ_cm_PMI_2020_1112_52",0.456,3815.06,1.56519630479104,9.41188254005355,3.08043463835354e-07,1.85233563992898e-06,"N3","pos",13.121312176305,2.18207454725051
"histidinol","mtab_TSQ_cm_PMI_2020_1112_53",0.447,7068.75,2.90008057002817,17.4388462317771,2.23668091298574e-07,1.34496727139999e-06,"R1","pos",9.52728817312453,1.58438826449369
"histidinol","mtab_TSQ_cm_PMI_2020_1112_54",0.457,6556.29,2.68983472897896,16.1745900139258,2.33880611078169e-07,1.40637748321131e-06,"R2","pos",9.96229711136439,1.6567302619407
"histidinol","mtab_TSQ_cm_PMI_2020_1112_55",0.446,3815.06,1.56519630479104,9.41188254005355,2.12640375096711e-07,1.27865509748335e-06,"P3","pos",9.05755541179677,1.5062716943877
"histidinol","mtab_TSQ_cm_PMI_2020_1112_56",0.456,4917.2,2.01736886704757,12.1308993373502,1.78806826773793e-07,1.07520625100078e-06,"R3","pos",7.61639336261798,1.26660640910812
"histidinol","mtab_TSQ_cm_PMI_2020_1112_58",0.436,3815.06,1.56519630479104,9.41188254005355,2.25071167731556e-07,1.35340429015701e-06,"P1","pos",9.58705312854721,1.59432717809418
"histidinol","mtab_TSQ_cm_PMI_2020_1112_59",0.457,11873.26,4.8712163577567,29.2917355133382,7.2991431143396e-07,4.38914131249347e-06,"P2","pos",31.0911759757276,5.17046335222753
"histidinol","mtab_TSQ_cm_PMI_2020_1112_60",0.446,4325.45,1.77459289147704,10.671031997629,3.06917519817728e-07,1.84556508162384e-06,"N2","pos",13.0733518567956,2.17409874490138
"histidinol","mtab_TSQ_cm_PMI_2020_1112_61",0.556,3815.06,1.56519630479104,9.41188254005355,3.30068975894162e-07,1.98478006990079e-06,"N1","pos",14.0595032223616,2.33809574197182
"hydroxyproline","mtab_TSQ_cm_PMI_2020_1112_52",0.72,3910.93,0.534781064902493,31.1242550677031,1.05249297562146e-07,6.12550854547943e-06,"N3","pos",46.7132505565426,0.80263324610803
"hydroxyproline","mtab_TSQ_cm_PMI_2020_1112_53",0.557,8308.48,1.13610261040752,66.1211657444419,8.76216698995741e-08,5.09958071142565e-06,"R1","pos",38.8895043958335,0.668204605350218
"hydroxyproline","mtab_TSQ_cm_PMI_2020_1112_54",0.437,4442.77,0.607504934048129,35.3567838563051,5.28224368870844e-08,3.07426553943346e-06,"R2","pos",23.4444104280749,0.402824959102299
"hydroxyproline","mtab_TSQ_cm_PMI_2020_1112_55",0.648,10207.58,1.3957857856002,81.2347251277791,1.89625040703318e-07,1.10361763372264e-05,"P3","pos",84.1621012523938,1.4460843491445
"hydroxyproline","mtab_TSQ_cm_PMI_2020_1112_56",0.557,8815.61,1.20544763101489,70.1570455665007,1.06843259685675e-07,6.21827713239644e-06,"R3","pos",47.4207056539041,0.8147888331097
"hydroxyproline","mtab_TSQ_cm_PMI_2020_1112_58",0.627,4531.43,0.619628313708275,36.0623644865651,8.91009438873385e-08,5.18567444946516e-06,"P1","pos",39.5460569622905,0.679485578337059
"hydroxyproline","mtab_TSQ_cm_PMI_2020_1112_59",0.669,5115.03,0.699429851827622,40.7068135709291,1.04804184663278e-07,6.0996029771871e-06,"P2","pos",46.5156941751476,0.799238806247831
"hydroxyproline","mtab_TSQ_cm_PMI_2020_1112_60",0.427,7121.91,0.973850877908762,56.6781157957891,1.68428430856217e-07,9.80253375945108e-06,"N2","pos",74.7543183058879,1.28443857893859
"hydroxyproline","mtab_TSQ_cm_PMI_2020_1112_61",0.457,9068.68,1.24005245495571,72.1710461315795,2.61502562080809e-07,1.52194476903273e-05,"N1","pos",116.063812173624,1.99422376329451
"hypoxanthine","mtab_TSQ_cm_PMI_2020_1112_52",1.015,9250.71,1.03173600362722,0.960519634701825,2.0305410340424e-07,1.89038138187351e-07,"N3","pos",1.38886296515576,1.49183824409845
"hypoxanthine","mtab_TSQ_cm_PMI_2020_1112_53",0.986,26546.24,2.96071453639009,2.7563489448385,2.28344472935757e-07,2.1258282056587e-07,"R1","pos",1.56184571718367,1.67764655745909
"hypoxanthine","mtab_TSQ_cm_PMI_2020_1112_54",1.009,51643.96,5.75987496115262,5.36229517450614,5.00820017354589e-07,4.66250531560008e-07,"R2","pos",3.42554207302923,3.67952404198508
"hypoxanthine","mtab_TSQ_cm_PMI_2020_1112_55",0.987,65457.22,7.30047429563222,6.79655345838287,9.91808879087776e-07,9.23348510555245e-07,"P3","pos",6.78384035379652,7.28681859589873
"hypoxanthine","mtab_TSQ_cm_PMI_2020_1112_56",1.016,38112.53,4.25070825810372,3.95729986056879,3.76755915880188e-07,3.50750049839049e-07,"R3","pos",2.57696017808426,2.76802524340745
"hypoxanthine","mtab_TSQ_cm_PMI_2020_1112_58",1.008,237175.44,26.4522875135128,24.6263980806927,3.80377031405783e-06,3.54121215088328e-06,"P1","pos",26.0172812496016,27.9462957465126
